page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
Denis Walker,Rhodesian,799608339.0,,,,,,,left_only
James Cowden,Rhodesian,800407772.0,,,,,,,left_only
Herbert Chitepo,Rhodesian,800416336.0,,,,,,,left_only
Thomas Nangle,Rhodesian,800479460.0,,,,,,,left_only
Timothy Stamps,Rhodesian,800986051.0,,,,,,,left_only
Sam Levy,Rhodesian,801716406.0,,,,,,,left_only
Humphrey Gibbs,Rhodesian,801718040.0,,,,,,,left_only
P. K. van der Byl,Rhodesian,801795215.0,,,,,,,left_only
Clifford Dupont,Rhodesian,801876681.0,,,,,,,left_only
Lance Smith (politician),Rhodesian,802151785.0,,,,,,,left_only
Desmond Lardner-Burke,Rhodesian,802930161.0,,,,,,,left_only
John Bredenkamp,Rhodesian,803620246.0,,,,,,,left_only
Frank Rhodes (British Army officer),Rhodesian,804040348.0,,,,,,,left_only
Ernest Lucas Guest,Rhodesian,804101492.0,,,,,,,left_only
Godfrey Chidyausiku,Rhodesian,804650400.0,,,,,,,left_only
Richard Hope Hall,Rhodesian,804743937.0,,,,,,,left_only
Crosaire,Rhodesian,804806363.0,,,,,,,left_only
Gaston Thornicroft,Rhodesian,804877226.0,,,,,,,left_only
"James Graham, 7th Duke of Montrose",Rhodesian,805372073.0,,,,,,,left_only
Ahrn Palley,Rhodesian,805960143.0,,,,,,,left_only
Allan Savory,Rhodesian,806153816.0,,,,,,,left_only
Ian Smith,Rhodesian,806532780.0,,,,,,,left_only
Garfield Todd,Rhodesian,807097467.0,,,,,,,left_only
Douglas Hamilton Ritchie,Rhodesian,807159903.0,,,,,,,left_only
Godfrey Huggins,Rhodesian,807160082.0,,,,,,,left_only
George Hackwill,Rhodesian,807283218.0,,,,,,,left_only
Henry Everard,Rhodesian,807425613.0,,,,,,,left_only
John Wrathall,Rhodesian,807425747.0,,,,,,,left_only
Mavua Mudima,"Congo, Dem. Rep. of",592289232.0,,,,,,,left_only
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604.0,,,,,,,left_only
Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654.0,,,,,,,left_only
Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214.0,,,,,,,left_only
Ntumba Luaba,"Congo, Dem. Rep. of",705723187.0,,,,,,,left_only
Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441.0,,,,,,,left_only
André-Philippe Futa,"Congo, Dem. Rep. of",708009445.0,,,,,,,left_only
Gérard Gifuza,"Congo, Dem. Rep. of",708358969.0,,,,,,,left_only
Koloso Sumaili,"Congo, Dem. Rep. of",708359204.0,,,,,,,left_only
Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149.0,,,,,,,left_only
Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718.0,,,,,,,left_only
Kisula Ngoy,"Congo, Dem. Rep. of",713583472.0,,,,,,,left_only
Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941.0,,,,,,,left_only
Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527.0,,,,,,,left_only
Delphin Kyubwa,"Congo, Dem. Rep. of",718961623.0,,,,,,,left_only
Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135.0,,,,,,,left_only
José Endundo Bononge,"Congo, Dem. Rep. of",721206007.0,,,,,,,left_only
Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158.0,,,,,,,left_only
Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090.0,,,,,,,left_only
Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797.0,,,,,,,left_only
François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634.0,,,,,,,left_only
Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920.0,,,,,,,left_only
Mulumba Lukoji,"Congo, Dem. Rep. of",743061455.0,,,,,,,left_only
Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818.0,,,,,,,left_only
Oscar Kashala,"Congo, Dem. Rep. of",749419078.0,,,,,,,left_only
Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",750725157.0,,,,,,,left_only
Christian Malanga,"Congo, Dem. Rep. of",751152656.0,,,,,,,left_only
Faustin Birindwa,"Congo, Dem. Rep. of",751361476.0,,,,,,,left_only
Chikez Diemu,"Congo, Dem. Rep. of",753704394.0,,,,,,,left_only
Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",754344309.0,,,,,,,left_only
Edouard Kiove Kola,"Congo, Dem. Rep. of",756510063.0,,,,,,,left_only
Daniel Mukoko Samba,"Congo, Dem. Rep. of",757821887.0,,,,,,,left_only
Dolly Makambo Nawezi,"Congo, Dem. Rep. of",763323939.0,,,,,,,left_only
Germain Kambinga,"Congo, Dem. Rep. of",763943185.0,,,,,,,left_only
Richard Ndambu Wolang,"Congo, Dem. Rep. of",764771546.0,,,,,,,left_only
Simon Mbatshi Batshia,"Congo, Dem. Rep. of",764771615.0,,,,,,,left_only
José Makila Sumanda,"Congo, Dem. Rep. of",764771652.0,,,,,,,left_only
Trésor Kapuku Ngoy,"Congo, Dem. Rep. of",764771697.0,,,,,,,left_only
Charles Mwando Simba,"Congo, Dem. Rep. of",764791046.0,,,,,,,left_only
Jules Fontaine Sambwa,"Congo, Dem. Rep. of",765570258.0,,,,,,,left_only
Mabi Mulumba,"Congo, Dem. Rep. of",765799138.0,,,,,,,left_only
N'Singa Udjuu,"Congo, Dem. Rep. of",765799213.0,,,,,,,left_only
Sultani Makenga,"Congo, Dem. Rep. of",765834828.0,,,,,,,left_only
Josué Alex Mukendi,"Congo, Dem. Rep. of",765871730.0,,,,,,,left_only
Raymond Tshibanda,"Congo, Dem. Rep. of",765923988.0,,,,,,,left_only
Banza Mukalay,"Congo, Dem. Rep. of",765924619.0,,,,,,,left_only
Évariste Boshab,"Congo, Dem. Rep. of",765925554.0,,,,,,,left_only
Marie-Ange Mushobekwa,"Congo, Dem. Rep. of",766647953.0,,,,,,,left_only
Jean Andeka,"Congo, Dem. Rep. of",768228272.0,,,,,,,left_only
Aimé Ngoy Mukena,"Congo, Dem. Rep. of",768670214.0,,,,,,,left_only
Aimé Boji,"Congo, Dem. Rep. of",772045942.0,,,,,,,left_only
Léonard Mulamba,"Congo, Dem. Rep. of",772317052.0,,,,,,,left_only
Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",772818039.0,,,,,,,left_only
Kasongo Ilunga,"Congo, Dem. Rep. of",774263410.0,,,,,,,left_only
Pierre Lumbi Okongo,"Congo, Dem. Rep. of",774679596.0,,,,,,,left_only
Jeannette Kavira Mapera,"Congo, Dem. Rep. of",776372644.0,,,,,,,left_only
Vice-Presidents of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",780035740.0,,,,,,,left_only
Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep. of",780757242.0,,,,,,,left_only
Louis Alphonse Koyagialo,"Congo, Dem. Rep. of",782350026.0,,,,,,,left_only
Luzolo Bambi Lessa,"Congo, Dem. Rep. of",782618365.0,,,,,,,left_only
Jonas Mukamba Kadiata Nzemba,"Congo, Dem. Rep. of",782825984.0,,,,,,,left_only
Arthur Z'ahidi Ngoma,"Congo, Dem. Rep. of",783354232.0,,,,,,,left_only
Emile Mota,"Congo, Dem. Rep. of",784182810.0,,,,,,,left_only
Lambert Mende Omalanga,"Congo, Dem. Rep. of",786579616.0,,,,,,,left_only
Justine Kasa-Vubu,"Congo, Dem. Rep. of",786751925.0,,,,,,,left_only
Cléophas Kamitatu,"Congo, Dem. Rep. of",786874201.0,,,,,,,left_only
Jean Nguza Karl-i-Bond,"Congo, Dem. Rep. of",787378464.0,,,,,,,left_only
Adam Bombolé,"Congo, Dem. Rep. of",787602247.0,,,,,,,left_only
Adolphe Lumanu,"Congo, Dem. Rep. of",787715913.0,,,,,,,left_only
Adolphe Muzito cabinet,"Congo, Dem. Rep. of",787716080.0,,,,,,,left_only
Justin Marie Bomboko,"Congo, Dem. Rep. of",787797355.0,,,,,,,left_only
Christian Atoki Ileka,"Congo, Dem. Rep. of",787978838.0,,,,,,,left_only
Paul Joseph Mukungubila Mutombo,"Congo, Dem. Rep. of",788024194.0,,,,,,,left_only
Ferdinand Essandja,"Congo, Dem. Rep. of",788054013.0,,,,,,,left_only
Martin Kabwelulu,"Congo, Dem. Rep. of",788465848.0,,,,,,,left_only
Antipas Mbusa,"Congo, Dem. Rep. of",789437538.0,,,,,,,left_only
Laurent Mbariko,"Congo, Dem. Rep. of",789487250.0,,,,,,,left_only
Union of Congolese Patriots,"Congo, Dem. Rep. of",789898887.0,,,,,,,left_only
Azarias Ruberwa,"Congo, Dem. Rep. of",790305725.0,,,,,,,left_only
Banyingela Kasonga,"Congo, Dem. Rep. of",790586686.0,,,,,,,left_only
Anicet Kashamura,"Congo, Dem. Rep. of",790738130.0,,,,,,,left_only
Sophie Kanza,"Congo, Dem. Rep. of",790942655.0,,,,,,,left_only
Bertrand Bisimwa,"Congo, Dem. Rep. of",791074307.0,,,,,,,left_only
Charles Kisolokele,"Congo, Dem. Rep. of",792037043.0,,,,,,,left_only
Antoine Ghonda,"Congo, Dem. Rep. of",793411567.0,,,,,,,left_only
Abdoulaye Yerodia Ndombasi,"Congo, Dem. Rep. of",794072384.0,,,,,,,left_only
Paul Bolya,"Congo, Dem. Rep. of",794134715.0,,,,,,,left_only
Freddy Matungulu,"Congo, Dem. Rep. of",796099032.0,,,,,,,left_only
Emmanuel Dungia,"Congo, Dem. Rep. of",797348410.0,,,,,,,left_only
Munga Mibindo,"Congo, Dem. Rep. of",797435100.0,,,,,,,left_only
Eric Lenge,"Congo, Dem. Rep. of",797446004.0,,,,,,,left_only
Guy-Patrice Lumumba,"Congo, Dem. Rep. of",798185563.0,,,,,,,left_only
Joseph Kabila,"Congo, Dem. Rep. of",798455633.0,,,,,,,left_only
Kavidi Wivine N'Landu,"Congo, Dem. Rep. of",798489264.0,,,,,,,left_only
Jeannot Bemba Saolona,"Congo, Dem. Rep. of",798859637.0,,,,,,,left_only
Medard Mulangala,"Congo, Dem. Rep. of",798948484.0,,,,,,,left_only
Mpinga Kasenda,"Congo, Dem. Rep. of",799044574.0,,,,,,,left_only
Fernand Kazadi,"Congo, Dem. Rep. of",799328311.0,,,,,,,left_only
Antoine-Roger Bolamba,"Congo, Dem. Rep. of",799328685.0,,,,,,,left_only
Odette Babandoa Etoa,"Congo, Dem. Rep. of",799331221.0,,,,,,,left_only
Monique Mukuna Mutombo,"Congo, Dem. Rep. of",799533831.0,,,,,,,left_only
Ekila Liyonda,"Congo, Dem. Rep. of",799913697.0,,,,,,,left_only
Augustin Matata Ponyo,"Congo, Dem. Rep. of",799930121.0,,,,,,,left_only
Nkulu Mitumba Kilombo,"Congo, Dem. Rep. of",800087105.0,,,,,,,left_only
Laurent Nkunda,"Congo, Dem. Rep. of",800298783.0,,,,,,,left_only
Christophe Gbenye,"Congo, Dem. Rep. of",800537411.0,,,,,,,left_only
Minister of Defence (Democratic Republic of the Congo),"Congo, Dem. Rep. of",801107444.0,,,,,,,left_only
Moïse Tshombe,"Congo, Dem. Rep. of",801110165.0,,,,,,,left_only
Godefroid Munongo,"Congo, Dem. Rep. of",801112469.0,,,,,,,left_only
Thomas Kanza,"Congo, Dem. Rep. of",801348128.0,,,,,,,left_only
Joseph Okito,"Congo, Dem. Rep. of",801770255.0,,,,,,,left_only
President of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",801936063.0,,,,,,,left_only
Alexis Thambwe Mwamba,"Congo, Dem. Rep. of",801968131.0,,,,,,,left_only
Alphonse Songolo,"Congo, Dem. Rep. of",802154801.0,,,,,,,left_only
List of heads of state of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",802197658.0,,,,,,,left_only
Jules Mutebusi,"Congo, Dem. Rep. of",802411491.0,,,,,,,left_only
Pierre Mulele,"Congo, Dem. Rep. of",803335436.0,,,,,,,left_only
Kasongo Munganga,"Congo, Dem. Rep. of",803421580.0,,,,,,,left_only
Joseph Kasa-Vubu,"Congo, Dem. Rep. of",804197745.0,,,,,,,left_only
Frédéric Kibassa Maliba,"Congo, Dem. Rep. of",804359582.0,,,,,,,left_only
Tabu Ley Rochereau,"Congo, Dem. Rep. of",804587534.0,,,,,,,left_only
Leonard Mashako Mamba,"Congo, Dem. Rep. of",804709167.0,,,,,,,left_only
Franck Mwe di Malila,"Congo, Dem. Rep. of",804943836.0,,,,,,,left_only
Mobutu Sese Seko,"Congo, Dem. Rep. of",805038023.0,,,,,,,left_only
Maurice Mpolo,"Congo, Dem. Rep. of",805086693.0,,,,,,,left_only
Georges Minsay Booka,"Congo, Dem. Rep. of",805279692.0,,,,,,,left_only
Germain Katanga,"Congo, Dem. Rep. of",805368981.0,,,,,,,left_only
Daniel Kanza,"Congo, Dem. Rep. of",805523382.0,,,,,,,left_only
Gilbert Pongo,"Congo, Dem. Rep. of",805835265.0,,,,,,,left_only
Laurent-Désiré Kabila,"Congo, Dem. Rep. of",805923394.0,,,,,,,left_only
Prospère Mushobekwa,"Congo, Dem. Rep. of",806071312.0,,,,,,,left_only
Eugène Serufuli Ngayabaseka,"Congo, Dem. Rep. of",806189185.0,,,,,,,left_only
Julien Paluku Kahongya,"Congo, Dem. Rep. of",806189633.0,,,,,,,left_only
List of mayors of Goma,"Congo, Dem. Rep. of",806372703.0,,,,,,,left_only
Victor Nendaka Bika,"Congo, Dem. Rep. of",806383479.0,,,,,,,left_only
Antoine Gizenga cabinet,"Congo, Dem. Rep. of",806524828.0,,,,,,,left_only
André Lubaya,"Congo, Dem. Rep. of",806545614.0,,,,,,,left_only
Jean-Chrysostome Werengemere,"Congo, Dem. Rep. of",806947596.0,,,,,,,left_only
Jean-Pierre Bemba,"Congo, Dem. Rep. of",807193274.0,,,,,,,left_only
Jason Sendwe,"Congo, Dem. Rep. of",807243537.0,,,,,,,left_only
Gérard Kamanda wa Kamanda,"Congo, Dem. Rep. of",807258156.0,,,,,,,left_only
Patrice Lumumba,"Congo, Dem. Rep. of",807273861.0,,,,,,,left_only
"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016.0,,,,,,,left_only
José Abel,East Timorese,699698855.0,,,,,,,left_only
Rogerio Lobato,East Timorese,712249441.0,,,,,,,left_only
Manuel Magalhaes de Oliveira,East Timorese,720011934.0,,,,,,,left_only
João Viegas Carrascalão,East Timorese,737687072.0,,,,,,,left_only
Manuel Carrascalão,East Timorese,753061850.0,,,,,,,left_only
Adalgisa Magno Guterres,East Timorese,755908563.0,,,,,,,left_only
María do Céu,East Timorese,755908564.0,,,,,,,left_only
Ana Pessoa Pinto,East Timorese,757539934.0,,,,,,,left_only
Rosa Bonaparte,East Timorese,760534473.0,,,,,,,left_only
Fernanda Borges,East Timorese,765600414.0,,,,,,,left_only
Nicolau dos Reis Lobato,East Timorese,772890380.0,,,,,,,left_only
Adalgisa Ximenes,East Timorese,779579546.0,,,,,,,left_only
Milena Pires,East Timorese,788017619.0,,,,,,,left_only
Alfredo Pires,East Timorese,788450147.0,,,,,,,left_only
Mário Viegas Carrascalão,East Timorese,793270640.0,,,,,,,left_only
José Abílio Osório Soares,East Timorese,793454583.0,,,,,,,left_only
Roque Rodrigues,East Timorese,796722416.0,,,,,,,left_only
Avelino Coelho da Silva,East Timorese,796886084.0,,,,,,,left_only
Manuel Tilman,East Timorese,797040695.0,,,,,,,left_only
Isabel da Costa Ferreira,East Timorese,797279277.0,,,,,,,left_only
Emília Pires,East Timorese,797438594.0,,,,,,,left_only
Xanana Gusmão,East Timorese,798242613.0,,,,,,,left_only
José Luís Guterres,East Timorese,798334210.0,,,,,,,left_only
Arsénio Bano,East Timorese,798969127.0,,,,,,,left_only
Nino Konis Santana,East Timorese,799059687.0,,,,,,,left_only
President of East Timor,East Timorese,799570306.0,,,,,,,left_only
Estanislau da Silva,East Timorese,802072802.0,,,,,,,left_only
José Ramos-Horta,East Timorese,802765398.0,,,,,,,left_only
Fernando de Araújo (East Timorese politician),East Timorese,803043434.0,,,,,,,left_only
Taur Matan Ruak,East Timorese,803615826.0,,,,,,,left_only
Lúcia Lobato,East Timorese,803664269.0,,,,,,,left_only
Francisco Xavier do Amaral,East Timorese,803969836.0,,,,,,,left_only
Vicente Guterres,East Timorese,804966906.0,,,,,,,left_only
Rui Maria de Araújo,East Timorese,805183458.0,,,,,,,left_only
Francisco Guterres,East Timorese,806140876.0,,,,,,,left_only
"List of members of the Løgting, 1974–78",Faroese,643932216.0,,,,,,,left_only
"List of members of the Løgting, 1978–80",Faroese,643932220.0,,,,,,,left_only
"List of members of the Løgting, 1980–84",Faroese,643932225.0,,,,,,,left_only
"List of members of the Løgting, 1984–88",Faroese,643932226.0,,,,,,,left_only
"List of members of the Løgting, 1990–94",Faroese,643932239.0,,,,,,,left_only
"List of members of the Løgting, 1994–98",Faroese,643932242.0,,,,,,,left_only
"List of members of the Løgting, 1998–2002",Faroese,698865505.0,,,,,,,left_only
Tórbjørn Poulsen,Faroese,700400143.0,,,,,,,left_only
Demmus Hentze,Faroese,701771698.0,,,,,,,left_only
Andrias Christian Evensen,Faroese,714088539.0,,,,,,,left_only
Hákun Djurhuus,Faroese,715330944.0,,,,,,,left_only
Jógvan Justinusson,Faroese,715490721.0,,,,,,,left_only
Andrass Samuelsen,Faroese,716137698.0,,,,,,,left_only
Álvur Kirke,Faroese,721938213.0,,,,,,,left_only
Rikard Long,Faroese,722336332.0,,,,,,,left_only
Sigurð Joensen,Faroese,722336979.0,,,,,,,left_only
Jógvan Poulsen (1854–1941),Faroese,722590461.0,,,,,,,left_only
Jacob Vestergaard,Faroese,724674137.0,,,,,,,left_only
Johan Simonsen,Faroese,725030656.0,,,,,,,left_only
Kári P. Højgaard,Faroese,725288194.0,,,,,,,left_only
Kristin Michelsen,Faroese,729422866.0,,,,,,,left_only
Lisbeth L. Petersen,Faroese,734668075.0,,,,,,,left_only
Símun av Skarði,Faroese,735578210.0,,,,,,,left_only
Finnbogi Ísakson,Faroese,748477895.0,,,,,,,left_only
"List of members of the Løgting, 1988–90",Faroese,750074079.0,,,,,,,left_only
Brandur Sandoy,Faroese,750167873.0,,,,,,,left_only
"List of members of the Løgting, 2015–19",Faroese,754952121.0,,,,,,,left_only
"List of members of the Løgting, 2011–15",Faroese,754952298.0,,,,,,,left_only
"List of members of the Løgting, 2008–11",Faroese,754952557.0,,,,,,,left_only
"List of members of the Løgting, 2004–08",Faroese,754952620.0,,,,,,,left_only
"List of members of the Løgting, 2002–04",Faroese,754952690.0,,,,,,,left_only
Bárður á Steig Nielsen,Faroese,756602743.0,,,,,,,left_only
Edmund Joensen,Faroese,756654638.0,,,,,,,left_only
Jørgen Niclasen,Faroese,756654880.0,,,,,,,left_only
Jóannes Eidesgaard,Faroese,765947137.0,,,,,,,left_only
Jógvan á Lakjuni,Faroese,765947416.0,,,,,,,left_only
Anfinn Kallsberg,Faroese,773895078.0,,,,,,,left_only
Kaj Leo Johannesen,Faroese,780361487.0,,,,,,,left_only
Rigmor Dam,Faroese,780543271.0,,,,,,,left_only
Hanna Jensen,Faroese,780543417.0,,,,,,,left_only
Sonja Jógvansdóttir,Faroese,780543635.0,,,,,,,left_only
Karin Kjølbro,Faroese,780543692.0,,,,,,,left_only
Jóannes Patursson,Faroese,781915668.0,,,,,,,left_only
Erlendur Patursson,Faroese,784440060.0,,,,,,,left_only
Niels Winther Poulsen,Faroese,789029085.0,,,,,,,left_only
Bjørt Samuelsen,Faroese,789306157.0,,,,,,,left_only
Jenis av Rana,Faroese,789307497.0,,,,,,,left_only
Heðin Mortensen,Faroese,789307569.0,,,,,,,left_only
Rasmus Effersøe,Faroese,789307632.0,,,,,,,left_only
Trygvi Samuelsen,Faroese,789308387.0,,,,,,,left_only
Eilif Samuelsen,Faroese,789308554.0,,,,,,,left_only
Jógvan Skorheim,Faroese,789310556.0,,,,,,,left_only
Louis Zachariasen,Faroese,789708924.0,,,,,,,left_only
Annika Olsen,Faroese,792595685.0,,,,,,,left_only
Páll á Reynatúgvu,Faroese,793276089.0,,,,,,,left_only
Atli Dam,Faroese,793277402.0,,,,,,,left_only
Henrik Old,Faroese,793353435.0,,,,,,,left_only
Marita Petersen,Faroese,793394960.0,,,,,,,left_only
Pauli Ellefsen,Faroese,796170338.0,,,,,,,left_only
Rasmus Rasmussen (writer),Faroese,796170437.0,,,,,,,left_only
Peter Mohr Dam,Faroese,797450160.0,,,,,,,left_only
Knút Wang,Faroese,797493287.0,,,,,,,left_only
Sjúrður Skaale,Faroese,797493405.0,,,,,,,left_only
Høgni Hoydal,Faroese,800723683.0,,,,,,,left_only
Kristina Háfoss,Faroese,801638146.0,,,,,,,left_only
Sirið Stenberg,Faroese,802476681.0,,,,,,,left_only
Eyðgunn Samuelsen,Faroese,802515495.0,,,,,,,left_only
Edva Jacobsen,Faroese,802925425.0,,,,,,,left_only
Aksel V. Johannesen,Faroese,803145744.0,,,,,,,left_only
Djóni í Geil,Faroese,803656387.0,,,,,,,left_only
Elsebeth Mercedis Gunnleygsdóttur,Faroese,804422035.0,,,,,,,left_only
Annita á Fríðriksmørk,Faroese,806011231.0,,,,,,,left_only
Katrin Kallsberg,Faroese,806909915.0,,,,,,,left_only
H. C .W. Tórgarð,Faroese,807297374.0,,,,,,,left_only
James Bisset (mayor),Cape Colony,647367482.0,,,,,,,left_only
Augustus Joseph Tancred,Cape Colony,651250302.0,,,,,,,left_only
Johan Conrad Silberbauer,Cape Colony,653467222.0,,,,,,,left_only
James Cotterell Hoole,Cape Colony,666596918.0,,,,,,,left_only
Patrick Goold,Cape Colony,670210734.0,,,,,,,left_only
Andries Botha,Cape Colony,676828191.0,,,,,,,left_only
Charles William Hutton,Cape Colony,680205631.0,,,,,,,left_only
John Blades Currey,Cape Colony,693624260.0,,,,,,,left_only
Joseph Orpen,Cape Colony,715016315.0,,,,,,,left_only
Klaas Afrikaner,Cape Colony,718462130.0,,,,,,,left_only
Christian Groepe,Cape Colony,723563811.0,,,,,,,left_only
William Hume (Cape politician),Cape Colony,724976433.0,,,,,,,left_only
James Sivewright,Cape Colony,731817397.0,,,,,,,left_only
William Downes Griffith,Cape Colony,731908828.0,,,,,,,left_only
John Sweet Distin,Cape Colony,737348283.0,,,,,,,left_only
John Thomas Eustace,Cape Colony,746923352.0,,,,,,,left_only
Jeremias Ziervogel,Cape Colony,750299694.0,,,,,,,left_only
Henry Latham Currey,Cape Colony,757832561.0,,,,,,,left_only
Henry Juta,Cape Colony,765333482.0,,,,,,,left_only
Simeon Jacobs,Cape Colony,767856232.0,,,,,,,left_only
William Schreiner,Cape Colony,771024710.0,,,,,,,left_only
George Strahan,Cape Colony,775481498.0,,,,,,,left_only
John Bardwell Ebden,Cape Colony,776725178.0,,,,,,,left_only
Jan Hendrik Hofmeyr (Onze Jan),Cape Colony,779046359.0,,,,,,,left_only
Charles Abercrombie Smith,Cape Colony,783249147.0,,,,,,,left_only
Charles Brownlee,Cape Colony,783250295.0,,,,,,,left_only
George Cathcart,Cape Colony,784693349.0,,,,,,,left_only
Henry Torrens,Cape Colony,784726341.0,,,,,,,left_only
Frederick Schermbrucker,Cape Colony,784765242.0,,,,,,,left_only
Richard Solomon (Attorney General),Cape Colony,784829553.0,,,,,,,left_only
Walter Hely-Hutchinson,Cape Colony,784862369.0,,,,,,,left_only
Henry White (Cape Treasurer General),Cape Colony,785566972.0,,,,,,,left_only
Jacobus Wilhelmus Sauer,Cape Colony,786142993.0,,,,,,,left_only
Charles Lennox Stretch,Cape Colony,786803200.0,,,,,,,left_only
John Tengo Jabavu,Cape Colony,786916027.0,,,,,,,left_only
Philip John Stigant,Cape Colony,786972727.0,,,,,,,left_only
Henry Pottinger,Cape Colony,787552653.0,,,,,,,left_only
Thomas Charles Scanlen,Cape Colony,788098639.0,,,,,,,left_only
Saul Solomon,Cape Colony,788361321.0,,,,,,,left_only
Thomas Upington,Cape Colony,788717893.0,,,,,,,left_only
Andries Stockenström (judge),Cape Colony,789120101.0,,,,,,,left_only
Robert Wynyard,Cape Colony,789258720.0,,,,,,,left_only
"John de Villiers, 1st Baron de Villiers",Cape Colony,789675927.0,,,,,,,left_only
Philip Edmond Wodehouse,Cape Colony,792178662.0,,,,,,,left_only
Charles Aken Fairbridge,Cape Colony,793643575.0,,,,,,,left_only
William Howley Goodenough,Cape Colony,794193433.0,,,,,,,left_only
George Thomas Napier,Cape Colony,794346758.0,,,,,,,left_only
William Butler (British Army officer),Cape Colony,794705198.0,,,,,,,left_only
"Sir George Yonge, 5th Baronet",Cape Colony,795625420.0,,,,,,,left_only
Christoffel Brand,Cape Colony,796352977.0,,,,,,,left_only
Henry Barkly,Cape Colony,796646347.0,,,,,,,left_only
Lord Charles Somerset,Cape Colony,797029963.0,,,,,,,left_only
Benjamin D'Urban,Cape Colony,797735815.0,,,,,,,left_only
John Charles Molteno,Cape Colony,797978795.0,,,,,,,left_only
"George Macartney, 1st Earl Macartney",Cape Colony,798165649.0,,,,,,,left_only
William Porter (Attorney General),Cape Colony,798383131.0,,,,,,,left_only
David Tennant (politician),Cape Colony,798742813.0,,,,,,,left_only
Andries Stockenström,Cape Colony,799373837.0,,,,,,,left_only
"Sir Harry Smith, 1st Baronet",Cape Colony,799472552.0,,,,,,,left_only
Charles Henry Darling,Cape Colony,800159179.0,,,,,,,left_only
John Paterson (Cape politician),Cape Colony,800767317.0,,,,,,,left_only
John X. Merriman,Cape Colony,801351302.0,,,,,,,left_only
Mpilo Walter Benson Rubusana,Cape Colony,801417570.0,,,,,,,left_only
Henry Hugh Clifford,Cape Colony,801856640.0,,,,,,,left_only
James Tennant Molteno,Cape Colony,801935094.0,,,,,,,left_only
Leander Starr Jameson,Cape Colony,803177433.0,,,,,,,left_only
Henry Bartle Frere,Cape Colony,803288472.0,,,,,,,left_only
"Hercules Robinson, 1st Baron Rosmead",Cape Colony,803303116.0,,,,,,,left_only
"Henry Loch, 1st Baron Loch",Cape Colony,803618569.0,,,,,,,left_only
Francis Dundas,Cape Colony,803908887.0,,,,,,,left_only
Lowry Cole,Cape Colony,804277547.0,,,,,,,left_only
"Sir David Baird, 1st Baronet",Cape Colony,804362436.0,,,,,,,left_only
James Rose Innes,Cape Colony,804497413.0,,,,,,,left_only
Nicolaas Frederic de Waal,Cape Colony,805157563.0,,,,,,,left_only
"John Charles Molteno, Jr.",Cape Colony,805678535.0,,,,,,,left_only
"Alfred Milner, 1st Viscount Milner",Cape Colony,805962015.0,,,,,,,left_only
Gordon Sprigg,Cape Colony,806340214.0,,,,,,,left_only
Cecil Rhodes,Cape Colony,806647373.0,,,,,,,left_only
George Grey,Cape Colony,807290539.0,,,,,,,left_only
Peregrine Maitland,Cape Colony,807330872.0,,,,,,,left_only
Thomas Francis Wade,Cape Colony,807401513.0,,,,,,,left_only
"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266.0,,,,,,,left_only
Park In-won,South Korean,703478926.0,,,,,,,left_only
Kim Seung-kew,South Korean,716323288.0,,,,,,,left_only
Seo Young-kyo,South Korean,717405394.0,,,,,,,left_only
Lee Wu-jong,South Korean,723064614.0,,,,,,,left_only
Yu In-chon,South Korean,760062536.0,,,,,,,left_only
Kim Wan-ju,South Korean,770622878.0,,,,,,,left_only
Park Yong-jin,South Korean,770623036.0,,,,,,,left_only
Lee Jong-kul,South Korean,770757174.0,,,,,,,left_only
Kim Hyun-jong,South Korean,770760118.0,,,,,,,left_only
Shin Ki-ha,South Korean,774367693.0,,,,,,,left_only
Lee Chunhee,South Korean,775234175.0,,,,,,,left_only
Ahn Dae-hee,South Korean,775458263.0,,,,,,,left_only
Ahn Gyu-baek,South Korean,775458608.0,,,,,,,left_only
