page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
Jozef Moravčík,Czech Republic,780051829.0,,,,,,,left_only
Milan Uhde,Czech Republic,780321961.0,,,,,,,left_only
František Pitra,Czech Republic,780534080.0,,,,,,,left_only
Oldřich Černík,Czech Republic,780534267.0,,,,,,,left_only
Otakar Motejl,Czech Republic,780868492.0,,,,,,,left_only
Ludwig Czech,Czech Republic,780887131.0,,,,,,,left_only
Rudolf Beran,Czech Republic,780921783.0,,,,,,,left_only
Victor Adler,Czech Republic,782058966.0,,,,,,,left_only
Emil Beier,Czech Republic,782384016.0,,,,,,,left_only
Bruno Kafka,Czech Republic,783065752.0,,,,,,,left_only
Lucie Talmanová,Czech Republic,783711789.0,,,,,,,left_only
Martin Mejstřík,Czech Republic,783737915.0,,,,,,,left_only
Vlastimil Tusar,Czech Republic,784145485.0,,,,,,,left_only
Petr Bendl,Czech Republic,784826685.0,,,,,,,left_only
Petr Gandalovič,Czech Republic,784826720.0,,,,,,,left_only
Tomáš Vandas,Czech Republic,784968648.0,,,,,,,left_only
Robert Mayr-Harting,Czech Republic,785085345.0,,,,,,,left_only
Karel Havlíček Borovský,Czech Republic,785407597.0,,,,,,,left_only
Jan Černý,Czech Republic,786162238.0,,,,,,,left_only
Josef Frank (politician),Czech Republic,786399604.0,,,,,,,left_only
Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217.0,,,,,,,left_only
Luboš Dobrovský,Czech Republic,787952395.0,,,,,,,left_only
Bedřich Moldan,Czech Republic,787952868.0,,,,,,,left_only
Martin Palouš,Czech Republic,788015952.0,,,,,,,left_only
Hermann Zwierzina,Czech Republic,788121309.0,,,,,,,left_only
Eduard Zeman,Czech Republic,788178766.0,,,,,,,left_only
Richard Bienert,Czech Republic,788410657.0,,,,,,,left_only
Václav Hampl,Czech Republic,789102318.0,,,,,,,left_only
Miroslav Grebeníček,Czech Republic,789546047.0,,,,,,,left_only
Vlasta Štěpová,Czech Republic,789546066.0,,,,,,,left_only
Egon Lánský,Czech Republic,789546079.0,,,,,,,left_only
Antonín Prachař,Czech Republic,789546102.0,,,,,,,left_only
Milan Horálek,Czech Republic,789546147.0,,,,,,,left_only
Antonín Novotný,Czech Republic,790372008.0,,,,,,,left_only
Zuzana Brzobohatá,Czech Republic,790608148.0,,,,,,,left_only
